analysis_type,experiment,dataset,qa_id,img_id,image_ref,question,gold_answer,pred_answer,pred_answer_no_caption,correct,confidence,question_type,caption_text,selection_note
high_confidence_correct,kvasir_caption,Kvasir-VQA,58847,clb0lbx1ndqps086u6is88lmw,two_dataset_final_artifacts/qualitative_images/clb0lbx1ndqps086u6is88lmw.jpg,none,,,,True,1.0,none,"A view of pink, folded mucosal tissue with a distinct white patch located on a raised structure in the upper left. A dark, shadowed region is visible in the background to the right, and a date stamp is present in the upper right corner.",unique examples
high_confidence_correct,kvasir_caption,Kvasir-VQA,48206,clbnxton8ar750755f4v916om,two_dataset_final_artifacts/qualitative_images/clbnxton8ar750755f4v916om.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A view of a tubular structure with pinkish mucosal walls and a dark central opening. Yellowish, oval-shaped objects are adhered to the upper surface, and a teal overlay with text and graphics is visible in the lower-left corner.",unique examples
high_confidence_correct,kvasir_caption,Kvasir-VQA,48125,clbnxtogibnoq074c8yf01n5s,two_dataset_final_artifacts/qualitative_images/clbnxtogibnoq074c8yf01n5s.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"The image displays a circular endoscopic view of a yellowish-brown surface covered with numerous reflective bubbles and fluid. Text overlays are visible in the upper left and upper right corners, while the text ""The Shadows"" appears in the lower left corner.",unique examples
high_confidence_correct,kvasir_caption,Kvasir-VQA,48131,clbnxton2aqyt075521wj941r,two_dataset_final_artifacts/qualitative_images/clbnxton2aqyt075521wj941r.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"The image shows a tubular lumen with pinkish mucosal walls and a dark central opening. A large green rectangular overlay covers the bottom left corner, and white text is visible in the top left.",unique examples
high_confidence_correct,kvasir_caption,Kvasir-VQA,48132,clbnxton2aqyx07550xzkfs40,two_dataset_final_artifacts/qualitative_images/clbnxton2aqyx07550xzkfs40.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A tubular structure with smooth pink mucosal folds converges toward a dark central opening. A green rectangular overlay with a black line is visible in the lower-left corner, and white text appears in the upper-left area.",unique examples
high_confidence_wrong,kvasir_caption,Kvasir-VQA,51295,clb0lbwyndocg086uas3yfl2g,two_dataset_final_artifacts/qualitative_images/clb0lbwyndocg086uas3yfl2g.jpg,Have all polyps been removed?,no,not relevant,,False,0.9997923970222472,Have all polyps been removed?,"An endoscopic view showing pinkish-red mucosal tissue with a folded, textured surface and bright fluid reflections. A large dark object or shadowed region is visible across the upper part of the frame, and white text overlays appear in the upper left corner.",unique examples
high_confidence_wrong,kvasir_caption,Kvasir-VQA,30433,clb0kvxun8zko074y606k6otj,two_dataset_final_artifacts/qualitative_images/clb0kvxun8zko074y606k6otj.jpg,Where in the image is the abnormality?,lower-center;lower-right,center;center-left;center-right;lower-center;lower-left;lower-right;upper-center;upper-left;upper-right,,False,0.999415159225464,Where in the image is the abnormality?,"A view of pale pink mucosal tissue with a smooth, wet surface and visible folds. Small bubbles and frothy fluid are scattered across the central and right regions.",unique examples
high_confidence_wrong,kvasir_caption,Kvasir-VQA,49667,clb0lbwy7dnr0086u9mek37t7,two_dataset_final_artifacts/qualitative_images/clb0lbwy7dnr0086u9mek37t7.jpg,Are there any instruments in the image? Check all that are present.,biopsy forceps,tube,,False,0.9978377223014832,Are there any instruments in the image? Check all that are present.,"An endoscopic view shows pink, folded mucosal tissue with bright fluid reflections across the surface. A large dark instrument-like object with white markings is visible in the upper left, and a green rectangular overlay with text covers the lower-left corner.",unique examples
high_confidence_wrong,kvasir_caption,Kvasir-VQA,51552,clb0lbwyrdofw086u8ij845kq,two_dataset_final_artifacts/qualitative_images/clb0lbwyrdofw086u8ij845kq.jpg,Have all polyps been removed?,no,not relevant,,False,0.997170865535736,Have all polyps been removed?,"An endoscopic view displays pinkish-red mucosal tissue with a smooth, wet surface texture and visible vascular patterns. A dark instrument-like object is present in the upper left corner, and white text overlays are visible on the left side of the frame.",unique examples
high_confidence_wrong,kvasir_caption,Kvasir-VQA,27785,cl8k2u1ro1ggn0832hm9y8scs,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ggn0832hm9y8scs.jpg,How many instrumnets are in the image?,1,0,,False,0.9967911839485168,How many instrumnets are in the image?,"An endoscopic view showing pinkish-orange mucosal tissue with a textured surface and bright fluid reflections. A dark instrument-like object is visible in the upper right, and white text overlays appear in the upper left corner.",unique examples
low_confidence_ambiguous,kvasir_caption,Kvasir-VQA,27774,cl8k2u1ro1ggj0832332weon6,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ggj0832332weon6.jpg,Where in the image is the abnormality?,center-right;upper-center;upper-right,center,,False,0.0854400917887687,Where in the image is the abnormality?,"An endoscopic view shows a tubular lumen with smooth, pinkish-tan mucosal walls and bright fluid reflections. A large dark region occupies the central and left portions of the frame, while a raised, pale tissue structure is visible in the upper right.",unique examples
low_confidence_ambiguous,kvasir_caption,Kvasir-VQA,21509,cl8k2u1qi1ex7083237wq3fnk,two_dataset_final_artifacts/qualitative_images/cl8k2u1qi1ex7083237wq3fnk.jpg,Where in the image is the abnormality?,center;center-right;upper-center;upper-right,center;center-left;lower-center;lower-left,,False,0.0858367606997489,Where in the image is the abnormality?,"An endoscopic view shows smooth, pink mucosal tissue with a prominent, round, raised nodule in the right foreground. Yellowish fluid and bright white glare spots are visible on the surface, and a text overlay with date and time information is present in the upper left corner.",unique examples
low_confidence_ambiguous,kvasir_caption,Kvasir-VQA,25922,cl8k2u1re1g0f083216lt8w98,two_dataset_final_artifacts/qualitative_images/cl8k2u1re1g0f083216lt8w98.jpg,Where in the image is the abnormality?,center,center;lower-center,,False,0.0901690423488617,Where in the image is the abnormality?,"An endoscopic view displays a tubular lumen with pink mucosal tissue and a raised, rounded mass protruding from the wall in the center. White text overlays are visible in the upper left corner, and bright specular reflections appear on the wet surface.",unique examples
low_confidence_ambiguous,kvasir_caption,Kvasir-VQA,27908,cl8k2u1ro1ghf0832fd9b288a,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ghf0832fd9b288a.jpg,Where in the image is the abnormality?,center;center-right;upper-center;upper-right,center-right;upper-center;upper-right,,False,0.0917893797159195,Where in the image is the abnormality?,"An endoscopic view displays a tubular lumen with pink mucosal tissue and visible folds. A raised, textured, reddish mass is located on the right side of the frame, accompanied by yellowish surface material and bright fluid reflections. Text overlays are visible in the upper left corner.",unique examples
low_confidence_ambiguous,kvasir_caption,Kvasir-VQA,20430,cl8k2u1qc1enz08323ez56fwp,two_dataset_final_artifacts/qualitative_images/cl8k2u1qc1enz08323ez56fwp.jpg,Where in the image is the abnormality?,center;center-left;upper-center;upper-left,center;center-right;upper-center;upper-right,,False,0.0940845534205436,Where in the image is the abnormality?,"An endoscopic view shows a raised, pinkish mucosal structure with a textured surface and bright fluid reflections in the upper left. A large dark region obscures the lower left corner, while a green rectangular overlay is visible in the bottom left.",unique examples
rare_answer_examples,kvasir_caption,Kvasir-VQA,27774,cl8k2u1ro1ggj0832332weon6,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ggj0832332weon6.jpg,Where in the image is the abnormality?,center-right;upper-center;upper-right,center,,False,0.0854400917887687,Where in the image is the abnormality?,"An endoscopic view shows a tubular lumen with smooth, pinkish-tan mucosal walls and bright fluid reflections. A large dark region occupies the central and left portions of the frame, while a raised, pale tissue structure is visible in the upper right.",unique examples
rare_answer_examples,kvasir_caption,Kvasir-VQA,22346,cl8k2u1qr1f4r08323y3d4mne,two_dataset_final_artifacts/qualitative_images/cl8k2u1qr1f4r08323y3d4mne.jpg,Where in the image is the abnormality?,lower-center;lower-left,center-left;upper-left,,False,0.0990862548351287,Where in the image is the abnormality?,"An endoscopic view displays pinkish-orange mucosal tissue with a textured surface and bright white fluid reflections. A dark, shadowed region is visible on the left side, and white text overlays appear in the upper-left corner.",unique examples
rare_answer_examples,kvasir_caption,Kvasir-VQA,20786,cl8k2u1qe1eqz083270vwe1zp,two_dataset_final_artifacts/qualitative_images/cl8k2u1qe1eqz083270vwe1zp.jpg,Where in the image is the abnormality?,center-right;lower-right,center;center-right;lower-center;lower-right;upper-right,,False,0.099173903465271,Where in the image is the abnormality?,"An endoscopic view showing smooth, pinkish-tan mucosal tissue with bright fluid reflections and small bubbles clustered in the lower right. A large dark region occupies the upper right background, and white text overlays are visible in the upper left corner.",unique examples
rare_answer_examples,kvasir_caption,Kvasir-VQA,17943,cl8k2u1pv1e4j08320fao8oka,two_dataset_final_artifacts/qualitative_images/cl8k2u1pv1e4j08320fao8oka.jpg,Where in the image is the abnormality?,center;center-right;lower-right,center;center-right;upper-center;upper-right,,False,0.1017035171389579,Where in the image is the abnormality?,"An endoscopic view shows a tubular lumen lined with smooth, pinkish-brown mucosa featuring a distinct, raised, pale nodule on the right wall. Bright white specular reflections from the light source are scattered across the wet surface, and a text overlay with date and time information is visible in the upper left corner.",unique examples
rare_answer_examples,kvasir_caption,Kvasir-VQA,26323,cl8k2u1rg1g3v08325qs2h86r,two_dataset_final_artifacts/qualitative_images/cl8k2u1rg1g3v08325qs2h86r.jpg,What color is the abnormality? If more than one separate with ;,red;pink;white,flesh;red;white,,False,0.1026735007762909,What color is the abnormality? If more than one separate with ;,"An endoscopic view shows smooth, pinkish mucosal tissue with bright fluid reflections and a central, raised, rounded structure. Text overlays and a black rectangular block are visible in the lower-left corner.",unique examples
frequent_answer_examples,kvasir_caption,Kvasir-VQA,48757,clbnxtowc6tpy079o452366jd,two_dataset_final_artifacts/qualitative_images/clbnxtowc6tpy079o452366jd.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A view of a tubular lumen with smooth, pinkish-tan mucosal folds converging towards a dark central opening. A large teal rectangular overlay obscures the lower-left corner, and white text data is visible in the upper-left area.",unique examples
frequent_answer_examples,kvasir_caption,Kvasir-VQA,48764,clbnxtowd6tqq079oeeeqhc8f,two_dataset_final_artifacts/qualitative_images/clbnxtowd6tqq079oeeeqhc8f.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"An endoscopic view shows smooth, pinkish-brown mucosal tissue with bright white specular reflections scattered across the surface. A large teal rectangular overlay covers the lower-left corner, and white text is visible in the upper-left corner.",unique examples
frequent_answer_examples,kvasir_caption,Kvasir-VQA,48687,clbnxtow86ti6079og7li5j9u,two_dataset_final_artifacts/qualitative_images/clbnxtow86ti6079og7li5j9u.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"The image displays a lumen filled with a thick, yellowish-brown, lumpy substance that covers most of the view, with patches of reddish tissue visible in the lower central area. A teal rectangular overlay with a schematic diagram is present in the bottom left corner, while bright glare is visible in the bottom right.",unique examples
frequent_answer_examples,kvasir_caption,Kvasir-VQA,48694,clbnxtow96tiy079oeas2fv1t,two_dataset_final_artifacts/qualitative_images/clbnxtow96tiy079oeas2fv1t.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A green rectangular overlay partially covers the lower-left corner of the image, and white text is visible in the upper-left corner. The view shows a tubular structure with pinkish mucosal walls and patches of yellowish material adhering to the surface.",unique examples
frequent_answer_examples,kvasir_caption,Kvasir-VQA,48700,clbnxtow96tjm079ocbu78cbw,two_dataset_final_artifacts/qualitative_images/clbnxtow96tjm079ocbu78cbw.jpg,Does this image contain any finding?,no,no,,True,1.0,Does this image contain any finding?,"A tubular structure with pink mucosal walls and a central opening is visible, featuring yellowish-brown material adhering to the upper inner surface. A large teal rectangular overlay obscures the lower-left corner, and white text data is present in the upper-left and left regions.",unique examples
weak_question_type_examples,kvasir_caption,Kvasir-VQA,27774,cl8k2u1ro1ggj0832332weon6,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ggj0832332weon6.jpg,Where in the image is the abnormality?,center-right;upper-center;upper-right,center,,False,0.0854400917887687,Where in the image is the abnormality?,"An endoscopic view shows a tubular lumen with smooth, pinkish-tan mucosal walls and bright fluid reflections. A large dark region occupies the central and left portions of the frame, while a raised, pale tissue structure is visible in the upper right.",unique examples
weak_question_type_examples,kvasir_caption,Kvasir-VQA,21509,cl8k2u1qi1ex7083237wq3fnk,two_dataset_final_artifacts/qualitative_images/cl8k2u1qi1ex7083237wq3fnk.jpg,Where in the image is the abnormality?,center;center-right;upper-center;upper-right,center;center-left;lower-center;lower-left,,False,0.0858367606997489,Where in the image is the abnormality?,"An endoscopic view shows smooth, pink mucosal tissue with a prominent, round, raised nodule in the right foreground. Yellowish fluid and bright white glare spots are visible on the surface, and a text overlay with date and time information is present in the upper left corner.",unique examples
weak_question_type_examples,kvasir_caption,Kvasir-VQA,25922,cl8k2u1re1g0f083216lt8w98,two_dataset_final_artifacts/qualitative_images/cl8k2u1re1g0f083216lt8w98.jpg,Where in the image is the abnormality?,center,center;lower-center,,False,0.0901690423488617,Where in the image is the abnormality?,"An endoscopic view displays a tubular lumen with pink mucosal tissue and a raised, rounded mass protruding from the wall in the center. White text overlays are visible in the upper left corner, and bright specular reflections appear on the wet surface.",unique examples
weak_question_type_examples,kvasir_caption,Kvasir-VQA,27908,cl8k2u1ro1ghf0832fd9b288a,two_dataset_final_artifacts/qualitative_images/cl8k2u1ro1ghf0832fd9b288a.jpg,Where in the image is the abnormality?,center;center-right;upper-center;upper-right,center-right;upper-center;upper-right,,False,0.0917893797159195,Where in the image is the abnormality?,"An endoscopic view displays a tubular lumen with pink mucosal tissue and visible folds. A raised, textured, reddish mass is located on the right side of the frame, accompanied by yellowish surface material and bright fluid reflections. Text overlays are visible in the upper left corner.",unique examples
weak_question_type_examples,kvasir_caption,Kvasir-VQA,20430,cl8k2u1qc1enz08323ez56fwp,two_dataset_final_artifacts/qualitative_images/cl8k2u1qc1enz08323ez56fwp.jpg,Where in the image is the abnormality?,center;center-left;upper-center;upper-left,center;center-right;upper-center;upper-right,,False,0.0940845534205436,Where in the image is the abnormality?,"An endoscopic view shows a raised, pinkish mucosal structure with a textured surface and bright fluid reflections in the upper left. A large dark region obscures the lower left corner, while a green rectangular overlay is visible in the bottom left.",unique examples
kvasir_to_x1_correct,kvasir_to_x1,Kvasir-VQA-x1,x1_test_5949_0,clbnxtox46vbi079o6wn966vn,two_dataset_final_artifacts/qualitative_images/clbnxtox46vbi079o6wn966vn.jpg,Does this image contain any finding?,no,no,,True,0.9974552989006042,finding_presence,,unique examples
kvasir_to_x1_correct,kvasir_to_x1,Kvasir-VQA-x1,x1_test_8987_0,clbnxtofhbm7a074c8ymd4p74,two_dataset_final_artifacts/qualitative_images/clbnxtofhbm7a074c8ymd4p74.jpg,Does this image contain any finding?,no,no,,True,0.9959153532981871,finding_presence,,unique examples
kvasir_to_x1_correct,kvasir_to_x1,Kvasir-VQA-x1,x1_test_926_1,cla820glgs4ef071uc71f2gdf,two_dataset_final_artifacts/qualitative_images/cla820glgs4ef071uc71f2gdf.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,none,,True,0.9952604174613952,landmark_presence,,unique examples
kvasir_to_x1_correct,kvasir_to_x1,Kvasir-VQA-x1,x1_test_5164_0,clbnxtonmarsl0755feelf0e1,two_dataset_final_artifacts/qualitative_images/clbnxtonmarsl0755feelf0e1.jpg,Does this image contain any finding?,no,no,,True,0.995051920413971,finding_presence,,unique examples
kvasir_to_x1_correct,kvasir_to_x1,Kvasir-VQA-x1,x1_test_973_1,cla820gn9s6q7071u0z5ifasv,two_dataset_final_artifacts/qualitative_images/cla820gn9s6q7071u0z5ifasv.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,none,,True,0.9950462579727172,landmark_presence,,unique examples
kvasir_to_x1_failed,kvasir_to_x1,Kvasir-VQA-x1,x1_test_8751_0,cla820gmss68b071u8m268bbr,two_dataset_final_artifacts/qualitative_images/cla820gmss68b071u8m268bbr.jpg,Are there any anatomical landmarks in the image? Check all that are present.,cecum,none,,False,0.991722047328949,landmark_presence,,unique examples
kvasir_to_x1_failed,kvasir_to_x1,Kvasir-VQA-x1,x1_test_5371_2,clb0kvxv5903c074ydb2afxqh,two_dataset_final_artifacts/qualitative_images/clb0kvxv5903c074ydb2afxqh.jpg,Have all polyps been removed?,not relevant,no,,False,0.9872114062309264,polyp_removal_status,,unique examples
kvasir_to_x1_failed,kvasir_to_x1,Kvasir-VQA-x1,x1_test_2367_0,cla820gm5s5bf071u6yppfvdo,two_dataset_final_artifacts/qualitative_images/cla820gm5s5bf071u6yppfvdo.jpg,Are there any anatomical landmarks in the image? Check all that are present.,cecum,none,,False,0.9858275651931764,landmark_presence,,unique examples
kvasir_to_x1_failed,kvasir_to_x1,Kvasir-VQA-x1,x1_test_7199_0,cla820gmfs5o3071u2nyigw5j,two_dataset_final_artifacts/qualitative_images/cla820gmfs5o3071u2nyigw5j.jpg,Are there any anatomical landmarks in the image? Check all that are present.,cecum,none,,False,0.9835996627807616,landmark_presence,,unique examples
kvasir_to_x1_failed,kvasir_to_x1,Kvasir-VQA-x1,x1_test_973_0,cla820gn9s6q7071u0z5ifasv,two_dataset_final_artifacts/qualitative_images/cla820gn9s6q7071u0z5ifasv.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,none,,False,0.9726917147636414,abnormality_presence,,unique examples
x1_to_kvasir_correct,x1_to_kvasir,Kvasir-VQA,49608,clbnxtoxt6wci079ochy1hyte,two_dataset_final_artifacts/qualitative_images/clbnxtoxt6wci079ochy1hyte.jpg,Does this image contain any finding?,no,no,,True,0.9999310970306396,Does this image contain any finding?,"An endoscopic view displays a tubular lumen lined with pink, folded mucosal tissue that appears wet and reflective. White text overlays are visible in the upper left corner, and a dark, shadowed region is present in the lower center of the frame.",unique examples
x1_to_kvasir_correct,x1_to_kvasir,Kvasir-VQA,48067,clbnxtogfbnia074c4snf1d4e,two_dataset_final_artifacts/qualitative_images/clbnxtogfbnia074c4snf1d4e.jpg,Does this image contain any finding?,no,no,,True,0.9999266862869264,Does this image contain any finding?,"A green rectangular overlay is visible in the lower-left corner, and white text appears in the upper-left corner. The image shows a tubular structure with pinkish-brown mucosal walls and a central region containing yellowish material and fluid reflections.",unique examples
x1_to_kvasir_correct,x1_to_kvasir,Kvasir-VQA,48886,clbnxtowi6u4a079ohwth4xq0,two_dataset_final_artifacts/qualitative_images/clbnxtowi6u4a079ohwth4xq0.jpg,Does this image contain any finding?,no,no,,True,0.999926209449768,Does this image contain any finding?,"A view of pinkish-brown mucosal tissue with a wet, reflective surface and visible folds. A large teal rectangular overlay is present in the bottom left corner, and white text data is visible in the top left corner.",unique examples
x1_to_kvasir_correct,x1_to_kvasir,Kvasir-VQA,48932,clbnxtowp6u9e079o6uhxf2ke,two_dataset_final_artifacts/qualitative_images/clbnxtowp6u9e079o6uhxf2ke.jpg,Does this image contain any finding?,no,no,,True,0.9999233484268188,Does this image contain any finding?,"An endoscopic view shows pinkish-red mucosal tissue with bright white fluid reflections across the surface. A yellowish patch is visible in the lower right, while white text overlays and a green rectangular box appear on the left side.",unique examples
x1_to_kvasir_correct,x1_to_kvasir,Kvasir-VQA,48517,clbnxtontas5p0755c6536pqu,two_dataset_final_artifacts/qualitative_images/clbnxtontas5p0755c6536pqu.jpg,Does this image contain any finding?,no,no,,True,0.9999135732650756,Does this image contain any finding?,"This endoscopic view displays pinkish mucosal tissue with bright specular reflections and a dark, triangular opening in the center. White text overlays appear in the upper left corner, while brownish fluid is visible at the bottom.",unique examples
x1_to_kvasir_failed,x1_to_kvasir,Kvasir-VQA,14093,cla820gmss68n071u4d8yd0cy,two_dataset_final_artifacts/qualitative_images/cla820gmss68n071u4d8yd0cy.jpg,How many instrumnets are in the image?,0,none,,False,0.9995101690292358,How many instrumnets are in the image?,"An endoscopic view displays a tubular lumen with textured, orange-brown mucosal walls and bright fluid reflections. A large dark shadowed region is visible in the lower-left foreground, and white text overlays appear in the upper-left corner.",unique examples
x1_to_kvasir_failed,x1_to_kvasir,Kvasir-VQA,13714,cla820gmrs663071uduamb53p,two_dataset_final_artifacts/qualitative_images/cla820gmrs663071uduamb53p.jpg,How many polyps are in the image?,0,none,,False,0.9993194341659546,How many polyps are in the image?,"An endoscopic view displays a textured, yellowish-orange mucosal surface with visible vascular patterns and bright fluid reflections. A large dark shadowed region is present in the lower-left corner, and white text overlays are visible in the upper-left area.",unique examples
x1_to_kvasir_failed,x1_to_kvasir,Kvasir-VQA,5779,cla820glos4qb071u0m84hdq3,two_dataset_final_artifacts/qualitative_images/cla820glos4qb071u0m84hdq3.jpg,How many instrumnets are in the image?,0,none,,False,0.9991674423217772,How many instrumnets are in the image?,"An endoscopic view of a tubular lumen with reddish-pink mucosal walls that appear textured and uneven. A large dark region is visible in the center of the lumen, and white text overlays are present in the upper left corner.",unique examples
x1_to_kvasir_failed,x1_to_kvasir,Kvasir-VQA,14100,cla820gmss68n071u4d8yd0cy,two_dataset_final_artifacts/qualitative_images/cla820gmss68n071u4d8yd0cy.jpg,Is there a green/black box artefact?,no,none,,False,0.999129831790924,Is there a green/black box artefact?,"An endoscopic view displays a tubular lumen with textured, orange-brown mucosal walls and bright fluid reflections. A large dark shadowed region is visible in the lower-left foreground, and white text overlays appear in the upper-left corner.",unique examples
x1_to_kvasir_failed,x1_to_kvasir,Kvasir-VQA,14094,cla820gmss68n071u4d8yd0cy,two_dataset_final_artifacts/qualitative_images/cla820gmss68n071u4d8yd0cy.jpg,Is there text?,yes,none,,False,0.9991113543510436,Is there text?,"An endoscopic view displays a tubular lumen with textured, orange-brown mucosal walls and bright fluid reflections. A large dark shadowed region is visible in the lower-left foreground, and white text overlays appear in the upper-left corner.",unique examples
caption_helped,caption_delta,Kvasir-VQA,56147,clb0lbx01dpuo086uaiel38gs,two_dataset_final_artifacts/qualitative_images/clb0lbx01dpuo086uaiel38gs.jpg,Are there any instruments in the image? Check all that are present.,tube,tube,none,True,0.9871203303337096,Are there any instruments in the image? Check all that are present.,"An endoscopic view displays reddish, textured mucosal tissue with visible folds and bright fluid reflections. A large dark object or shadowed region is present across the upper part of the frame, and white text overlays are visible in the upper left corner.",unique examples
caption_helped,caption_delta,Kvasir-VQA,29886,cl8k2u1s61gvj0832a90324qb,two_dataset_final_artifacts/qualitative_images/cl8k2u1s61gvj0832a90324qb.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,none,ileum,True,0.9822346568107604,Are there any anatomical landmarks in the image? Check all that are present.,"A view of pinkish mucosal tissue features a distinct, raised, rounded area in the lower right quadrant. Small white specular reflections are scattered across the surface, and white text metadata is visible on the left side alongside a black rectangular block in the bottom left corner.",unique examples
caption_helped,caption_delta,Kvasir-VQA,28296,cl8k2u1rq1gjz0832cpmb1w6x,two_dataset_final_artifacts/qualitative_images/cl8k2u1rq1gjz0832cpmb1w6x.jpg,Are there any instruments in the image? Check all that are present.,none,none,polyp snare,True,0.9771987199783324,Are there any instruments in the image? Check all that are present.,"An endoscopic view displays a raised, textured, pinkish-red mucosal structure with a reticular surface pattern and a central area of yellowish material. Text overlays with date and time information are visible in the upper-left corner, and a black rectangular region obscures the lower-left corner.",unique examples
